0 -387 -220
1 13 19
2 -1 8
3 7 11
4 -2 -3
5 10 10
6 -6 -1
7 -6 -1
8 36 15
9 11 7
10 -10 -6
11 1 1
12 -5 -2
13 -14 -10
14 -3 -4
15 0 2
16 1 -2
17 -9 -5
18 -13 -2
19 -11 -3
20 2 6
21 -5 0
22 7 3
23 -3 0
24 9 4
25 -7 -2
26 -1 -1
27 -1 0
28 0 0
29 1 1
30 -10 -4
31 1 1
32 10 2
33 -1 -3
34 -1 -3
35 -3 -2
36 -1 -2
37 0 -2
38 -1 -1
39 0 1
40 3 -1
41 -1 1
42 1 -1
43 0 0
44 2 1
45 0 0
46 -1 -1
47 2 -2
48 1 1
49 3 2
50 0 3
51 1 1
52 1 -1
53 0 1
54 -1 -1
55 1 -1
56 2 1
57 3 1
58 -2 1
59 0 2
60 -1 -2
61 0 0
62 1 1
63 0 1
