0 -435 -647
1 30 32
2 61 76
3 -4 -2
4 8 16
5 -8 -6
6 -5 -15
7 0 1
8 -11 -23
9 6 -8
10 1 3
11 -5 -8
12 5 12
13 1 0
14 -1 -1
15 2 0
16 0 -1
17 2 5
18 -1 2
19 -10 -6
20 -2 -2
21 -2 1
22 -1 2
23 1 2
24 -5 -2
25 -1 1
26 2 1
27 -1 1
28 0 0
29 -2 -1
30 0 1
31 -3 2
32 2 0
33 1 3
34 0 1
35 0 3
36 -2 2
37 1 -1
38 -2 -1
39 0 0
40 1 3
41 0 -2
42 -1 1
43 1 1
44 1 2
45 2 1
46 -1 1
47 0 -1
48 0 -4
49 -1 -1
50 0 -1
51 -1 -3
52 1 0
53 1 0
54 1 1
55 0 1
56 -2 1
57 -3 1
58 -1 0
59 1 2
60 1 0
61 2 1
62 0 0
63 -1 0
