0 -492 -289
1 10 -12
2 7 -21
3 7 2
4 3 4
5 18 -3
6 -10 -14
7 3 14
8 12 9
9 6 1
10 7 8
11 -11 -10
12 -10 0
13 -6 -12
14 -6 -3
15 3 -2
16 3 -5
17 5 4
18 0 1
19 -2 -6
20 -3 -2
21 -1 -2
22 1 2
23 3 -3
24 9 3
25 10 -1
26 -4 -1
27 -1 4
28 3 1
29 -1 -1
30 0 1
31 1 0
32 4 2
33 -2 2
34 2 0
35 0 0
36 0 3
37 1 -1
38 0 -1
39 0 -1
40 1 1
41 0 0
42 0 3
43 -2 0
44 1 -2
45 -1 0
46 0 1
47 -2 0
48 0 1
49 -1 1
50 1 -3
51 -2 2
52 1 -2
53 -1 -2
54 0 1
55 -1 -1
56 -1 0
57 -2 -2
58 -1 2
59 0 0
60 0 0
61 -1 0
62 -1 1
63 -1 0
